50 Op,65125 Op,171054 Op,213197 Op,238381 Op,255941 Op,269245 Op,279861 Op,288640 Op,296091 Op,302541 Op,308213 Op,313263 Op,317806 Op,321929 Op,325698 Op,329166 Op,50 NoOp,65125 NoOp,171054 NoOp,213197 NoOp,238381 NoOp,255941 NoOp,269245 NoOp,279861 NoOp,288640 NoOp,296091 NoOp,302541 NoOp,308213 NoOp,313263 NoOp,317806 NoOp,321929 NoOp,325698 NoOp,329166 NoOp
0,33280,41064,41360,40824,40280,82744,83760,81336,82968,81224,81712,82688,83024,84080,82968,82584,0,47456,98272,96824,134961,133411,132103,135120,131559,135314,133199,132268,134517,132414,132975,134557,139136
0,33280,40752,40296,40968,40312,82184,81183,82776,84464,82736,82912,81688,82976,82656,83528,82248,0,47400,96416,98312,133957,137040,135020,134993,133203,133567,130462,133778,138545,137260,133322,134186,136645
0,33280,40912,41808,40976,41432,40880,82392,82504,82480,82192,84271,82136,81032,81032,82728,84024,0,47416,100264,133269,136418,134716,134150,136783,134386,130061,134200,135278,133075,138288,134639,133736,136499
0,33280,41568,40584,40952,40552,80968,81608,83248,83056,84016,82480,83288,82944,83528,81144,82776,0,47456,98256,96768,131875,138257,133841,135058,135735,128097,136349,134749,132921,196618,134123,137382,195992
0,33280,41744,40792,40952,81080,81048,81280,83216,82808,83656,83455,82488,81576,82384,82672,82504,0,47400,96712,97688,131352,137750,132542,134360,134457,135811,132707,139895,134116,134457,140001,196695,201646
0,33280,40824,40936,40928,40880,82592,82280,83080,82752,82600,83136,82344,83184,81016,81176,82632,0,47456,97496,98144,136291,136871,133878,135194,136224,132399,135727,134346,137548,135786,132737,134080,132289
0,33280,40776,40272,41376,41680,81232,81504,81072,83408,82008,81328,82080,82728,82784,82728,82536,0,47608,97792,98536,135762,133675,134263,140723,134192,135638,133856,138212,137433,195282,134288,135919,201040
0,33280,40464,41640,40912,40816,40936,82400,82088,82952,82224,82560,82728,81992,83024,81200,83568,0,47392,97704,131740,137432,137767,136558,135498,127432,135779,134958,138756,134258,132246,135414,200431,138015
0,33280,40952,40944,40832,81416,81136,83584,81615,41576,82416,83528,82528,82568,83728,82600,81264,0,47408,99128,97240,134373,135776,134419,133949,136137,135926,134084,132883,131997,136760,135710,134087,200683
0,33280,40648,40816,40288,41592,81312,83496,83831,82848,81248,82824,82720,81544,81376,82648,81080,0,47416,99328,96960,134324,131065,137166,136386,134686,133256,134807,136949,132161,133689,137697,137415,202034
3958,3988,3995,3995,3994,3989,3997,3990,3997,3994,3994,3996,3990,3995,3990,3989,3995,3988,4027,4031,4030,4027,4032,4031,4031,4030,4026,4034,4031,4026,4018,4024,4030,4033
3955,3996,3994,3995,3989,3997,3990,3992,3982,3991,3990,3991,3994,3994,3992,3994,3997,3973,4032,4025,4031,4030,4024,4033,4033,4025,4033,4026,4026,4033,4030,4023,4031,4031
3958,3993,3992,3993,3992,3994,3989,3995,3994,3995,3988,3996,3988,3987,3994,3983,3984,3986,4027,4031,4025,4034,4031,4034,4032,4030,4023,4034,4031,4028,4033,4031,4030,4033
3961,3994,3988,3995,3994,3998,3989,3990,3991,3982,3994,3989,3986,3990,3996,3995,3986,3986,4031,4025,4031,4032,4027,4033,4024,4031,4031,4030,4031,4028,4030,4024,4027,4031
3955,3994,3988,3993,3996,3990,3989,3990,3989,3993,3996,3990,3995,3992,3994,3994,3989,3986,4033,4024,4031,4025,4022,4029,4032,4027,4031,4028,4024,4031,4027,4027,4033,4026
3961,3996,3996,3994,3987,3986,3995,3995,3996,3994,3996,3990,3998,3989,3989,3989,3990,3976,4027,4033,4031,4026,4026,4031,4022,4031,4028,4030,4031,4032,4032,4031,4031,4031
3961,3989,3986,3996,3994,3989,3996,3994,3990,3989,3996,3991,3989,3991,3991,3988,3989,3986,4030,4033,4031,4027,4031,4031,4033,4029,4022,4033,4020,4029,4018,4021,4033,4032
3961,3993,3988,3997,3988,3988,3997,3990,3994,3990,3995,3987,3994,3995,3989,3982,3995,3987,4024,4031,4031,4025,4026,4025,4034,4028,4028,4025,4033,4026,4028,4026,4031,4032
3961,3992,3988,3996,3996,3997,3994,3996,3983,3995,3988,3994,3988,3997,3994,3993,3983,3979,4027,4026,4030,4029,4030,4026,4027,4032,4026,4031,4031,4031,4025,4030,4029,4032
3956,3984,3991,3990,3986,3989,3996,3991,3994,3995,3990,3988,3996,3994,3998,3989,3994,3987,4031,4021,4026,4031,4033,4025,4025,4032,4031,4026,4025,4028,4032,4030,4031,4026
