255941 Op,269245 Op,279861 Op,288640 Op,296091 Op,302541 Op,308213 Op,313263 Op,317806 Op,321929 Op,325698 Op,329166 Op
67291,8074,6412,15209,18215,25957,31252,23441,29035,36552,38583,40562
65601,3510,3617,15735,14620,24709,6530,18604,28399,33722,32346,37907
67740,3510,16588,17005,26842,22795,28737,28124,28144,28930,33682,40429
9864,11432,11080,18200,23048,29488,13752,29152,31640,31336,30672,29864
11080,11064,11680,15096,28888,30456,29224,31448,29344,29440,29168,29064
9536,10800,11312,17624,29432,30696,31496,31336,17248,29856,31496,31560
11248,10536,10824,24000,28808,12712,30512,32256,28752,20896,29664,30424
12400,12736,11208,18088,22976,29112,12744,29992,29856,28576,18384,32376
14248,10232,10912,28376,27088,29152,31384,31032,30320,31176,28912,29480
11856,10648,20224,23544,17208,19872,31008,30712,30952,30560,29824,30584
10960,12488,11160,24208,30096,31096,29472,29288,31264,31336,31384,31160
11696,11992,12176,28944,12576,30976,13400,31008,30480,31056,30576,30016
11072,11000,11056,28552,26568,30872,29776,31056,32272,28736,31552,29448
11128,12488,14808,27264,26872,28040,28024,31280,29336,32872,29888,33088
12672,11752,16872,29376,28624,30064,30432,31096,30560,30928,31576,15440
11768,10904,17928,21928,29720,29248,30808,30816,30920,30240,28528,30536
11632,11248,19368,16848,26280,29400,30248,30448,30432,30296,29512,29704
12928,10368,11024,15072,27256,31080,29400,30248,30784,30336,33312,31040
10824,10488,11224,21768,28816,31096,31280,30888,31000,31920,30784,31136
9496,11312,11152,27792,25368,30800,13744,30264,32256,30880,30472,30216
11920,11144,13704,12520,26232,31016,31016,29808,13728,32712,28528,31416
11344,10936,12544,29192,28664,31032,30264,30568,30432,28376,30568,30288
9296,13968,10936,25336,24288,29856,30528,30672,30320,30544,30840,31192
10992,11984,10952,21232,30104,30944,29352,28792,28928,30952,29320,28448
10536,11800,10576,12592,13680,30848,29528,31200,30320,29712,30024,29648
10952,10896,12808,29272,29688,23448,31240,29920,28208,30144,29376,28552
11208,10184,11656,18160,13832,13384,30944,30296,31272,30864,20160,30944
9712,13384,12840,18352,23280,28712,12952,31016,29144,28976,30488,32368
9648,10848,17664,13336,30040,29656,30288,29768,31208,30712,31320,31304
10520,15056,11896,17560,29512,29536,30432,30224,29760,32488,28992,29248
12112,11064,11120,14072,29624,31032,30664,31136,31312,29920,31440,30960
10880,11000,13416,28952,13464,30624,29352,29944,29272,31176,28552,30752
10312,10944,23032,28992,28784,30696,29880,30720,31608,31608,30224,28648
11168,11048,10992,11816,21088,21976,31288,28728,28936,30504,29360,30896
10992,11096,11080,29328,18144,30992,28704,29696,29256,29848,29200,29008
10408,10648,11360,18120,25696,30272,29712,29904,32344,29920,30576,20320
12880,10632,10456,12248,29120,30816,31584,30464,31816,30752,29552,28344
11760,10864,24904,18384,27128,29816,28864,29632,29960,30104,31344,31440
12528,16896,11216,29144,22832,25728,26672,30184,30840,29872,32544,30464
10096,10608,11136,28488,13840,26128,30496,30864,29280,30424,31336,31200
11624,10032,11256,15328,23576,29856,29064,31928,30816,29336,29224,29096
12136,10856,12104,16688,15232,30176,13264,24560,31048,30056,31048,29784
11200,10976,19040,20368,28808,30752,29704,30496,31168,31448,30592,29144
3993,3984,3990,3994,3994,3992,3994,3987,3995,3997,3991,3988
3987,3996,3996,3989,3989,3988,3995,3994,3987,3995,3994,3993
3991,3990,3995,3983,3992,3993,3994,3985,3989,3996,3989,3995
3994,3990,3997,3995,3985,3990,3995,3994,3990,3997,3989,3982
3994,3997,3993,3995,3995,3988,3994,3993,3989,3989,3997,3996
3987,3994,3986,3993,3996,3991,3995,3993,3986,3987,3989,3995
3995,3988,3995,3990,3988,3994,3996,3997,3996,3993,3989,3996
3990,3994,3993,3988,3991,3992,3997,3986,3995,3995,3994,3996
3997,3994,3995,3990,3995,3983,3987,3994,3990,3994,3989,3996
3984,3990,3995,3991,3988,3996,3990,3990,3993,3995,3983,3999
3988,3983,3997,3996,3994,3994,3996,3991,3996,3992,3989,3998
3997,3991,3991,3995,3995,3988,3988,3996,3994,3994,3990,3992
3996,3995,3990,3994,3989,3995,3994,3994,3989,3994,3993,3989
3985,3991,3987,3996,3995,3997,3990,3994,3994,3995,3992,3996
3994,3990,3988,3988,3989,3993,3988,3996,3986,3990,3995,3989
3996,3998,3986,3989,3995,3995,3990,3990,3994,3994,3984,3994
3988,3996,3993,3995,3994,3995,3989,3995,3989,3993,3995,3994
3994,3991,3995,3996,3984,3995,3982,3995,3997,3995,3995,3989
3997,3990,3993,3989,3990,3989,3992,3996,3992,3986,3982,3996
3988,3988,3993,3988,3995,3995,3995,3996,3995,3994,3996,3991
3982,3996,3994,3992,3988,3994,3983,3995,3995,3989,3986,3991
3994,3994,3991,3985,3994,3988,3994,3987,3989,3989,3982,3995
3994,3997,3995,3989,3995,3997,3997,3991,3995,3988,3987,3989
3994,3989,3994,3993,3996,3998,3990,3993,3982,3993,3997,3989
3994,3995,3993,3996,3989,3995,3993,3994,3994,3991,3995,3992
3992,3989,3997,3989,3994,3994,3996,3995,3989,3991,3991,3994
3993,3993,3988,3993,3989,3986,3995,3995,3997,3994,3995,3995
3989,3994,3994,3994,3996,3995,3985,3996,3990,3990,3995,3997
3995,3990,3991,3992,3998,3994,3994,3988,3996,3994,3988,3997
3996,3996,3984,3993,3989,3995,3996,3984,3995,3994,3993,3982
3996,3995,3995,3989,3994,3993,3995,3994,3995,3990,3996,3989
3997,3991,3988,3988,3995,3992,3994,3992,3995,3995,3998,3995
3995,3988,3989,3984,3994,3988,3994,3987,3996,3985,3996,3996
3988,3996,3994,3995,3995,3991,3997,3995,3990,3997,3997,3992
3992,3990,3995,3990,3992,3990,3988,3994,3998,3997,3989,3995
3995,3992,3994,3988,3994,3994,3994,3989,3991,3990,3996,3995
3987,3989,3987,3986,3997,3991,3994,3993,3997,3989,3991,3994
3995,3993,3992,3989,3994,3993,3995,3994,3990,3997,3994,3990
3995,3996,3997,3989,3997,3991,3992,3992,3979,3987,3990,3996
3995,3994,3994,3990,3989,3996,3984,3989,3990,3998,3994,3996
