Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Testn/40410,5.168706905692246e-4,5.106359096950102e-4,5.237155178723585e-4,2.201932870710353e-5,1.885810694013386e-5,2.7109399570200956e-5
Testn/41053,5.339418397845362e-4,5.275436943057783e-4,5.393941200856771e-4,2.0787497808493035e-5,1.735256889312849e-5,2.685726346856802e-5
Testn/41652,5.288315652762623e-4,5.204642027795709e-4,5.400780216104678e-4,3.294625382683609e-5,2.6156401150622226e-5,4.212039207602348e-5
Testn/42212,5.17724405618427e-4,5.111712422509808e-4,5.243011631783211e-4,2.2367528791144482e-5,1.8728625687362792e-5,2.7570763369874012e-5
Testn/42738,5.24939485452687e-4,5.180874889201919e-4,5.336640065060048e-4,2.5882214434213994e-5,2.085060075398872e-5,3.302880123711312e-5
Testn/43233,5.368279533864562e-4,5.286986776281431e-4,5.477565891156668e-4,3.095336077253691e-5,2.510923601149743e-5,4.174119885682639e-5
Testn/43700,5.347066615581341e-4,5.277361658094737e-4,5.41646787006558e-4,2.326168304136897e-5,1.936892160410619e-5,2.8378523902527282e-5
Testn/44142,5.433600440729046e-4,5.354775187668225e-4,5.538481607687994e-4,3.076137151332765e-5,2.4872226875202837e-5,4.1109153252917534e-5
Testn/44562,5.481357209904713e-4,5.395981351928876e-4,5.569336471703943e-4,2.9423491747353726e-5,2.488620707615675e-5,3.795481659704113e-5
Testn/44961,5.498185285388783e-4,5.416750158084701e-4,5.617234504836725e-4,3.3139468777380584e-5,2.3303426142220012e-5,4.944183223336645e-5
Testn/45341,5.52232489630285e-4,5.44824723615504e-4,5.59851964592656e-4,2.7233315390527847e-5,2.3410441736264742e-5,3.278661375110654e-5
Testn/45704,5.76003458545547e-4,5.672644413444298e-4,5.850236697823105e-4,2.9799406841337153e-5,2.5142019608339682e-5,3.809599245395045e-5
Testn/46051,6.177585350163771e-4,6.050982804842768e-4,6.412328683355115e-4,5.682247218617505e-5,3.794311228427216e-5,9.403880300799621e-5
Testn/46384,6.025035298997476e-4,5.933987842151261e-4,6.125152189541427e-4,3.324573572390777e-5,2.65801973656684e-5,4.038381657329209e-5
Testn/46703,5.981083397400017e-4,5.928502246757907e-4,6.055169725680964e-4,2.1223109114033604e-5,1.6325563879679342e-5,3.1618549393608055e-5
Testn/47009,6.183605701905427e-4,6.111851068550892e-4,6.256952328400231e-4,2.4132084879328865e-5,1.945937270658004e-5,3.060356873265096e-5
Testn/47304,6.060565569215337e-4,5.990151955483513e-4,6.166524676150315e-4,3.1011857760109514e-5,2.461669001216061e-5,4.022858691480086e-5
Testn/47588,6.099950580614587e-4,6.028074858838478e-4,6.177815323200638e-4,2.6448003699819078e-5,2.1705960157811077e-5,3.235047556976975e-5
Testn/47862,6.19435015649026e-4,6.10284768202824e-4,6.286949244703761e-4,3.079300747627344e-5,2.4384133550581007e-5,4.072191499991225e-5
Testn/48126,6.226802900032324e-4,6.153503134447071e-4,6.304175436379312e-4,2.6080037311152524e-5,2.209620193696641e-5,3.1933315171109765e-5
Testn/48382,6.298547580665127e-4,6.208467518911639e-4,6.397657918496973e-4,3.214662125058063e-5,2.5972058059771507e-5,4.1424942501671735e-5
Testn/48629,6.302684957870297e-4,6.214303073647279e-4,6.384179582589657e-4,3.0027812463677982e-5,2.3921193437712256e-5,3.9552488262352455e-5
Testn/48868,6.280430346195595e-4,6.184757429054917e-4,6.374218609305962e-4,3.151351020418114e-5,2.5671535840231095e-5,3.7921376958250555e-5
Testn/49100,6.275153280545021e-4,6.192365567844968e-4,6.352883579265684e-4,2.6981603296075624e-5,2.2404581079870477e-5,3.5438004374234504e-5
